,regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date,americanArea,condition_num
86,Nordrhein_Westfalen,140.0,floor_heating,ONE_YEAR_FREE,10.0,False,True,3,5.06,2.4,720.0,2016.0,102318918,1.0,solar_heating,False,Nordrhein_Westfalen,False,9.0,660.0,13,54.0,Münster,mint_condition,sophisticated,no,Westfalenstr.,Westfalenstr.,True,5,apartment,48165,2.0,30.0,2.0,3.0,2,False,2,Münster,Berg_Fidel,"Die Wohnung befindet sich in einem hochwertigen Neubau Mehrfamilienhaus mit 6 Parteien. Die Wohnung verfügt über ein Schlafzimmer, ein Wohnzimmer mit offener Küche, einem großzügigen Bad und einem Abstellraum. Ein Balkon / Loggia und Innenhof für Fahrräder, sowie ein gemeinschaftlicher Dachboden gehören dazu. BITTE KEINE WG ANFRAGEN!","Große und helle Räume. Lüftungsanlage. Großes Bad, bodentiefe Dusche. Elektrische Rollläden. Fußbodenheizung. Böden: Feinsteinzeugfliese und hochwertiges Laminat. Aufzug. Eigener Stellplatz.",,NO_INFORMATION,,,,May19,581.2506,6.0
87,Nordrhein_Westfalen,250.0,central_heating,ONE_YEAR_FREE,,False,True,41,6.18,10.0,1750.0,2009.0,110818780,1.0,gas,True,Nordrhein_Westfalen,True,7.0,1400.0,32-34,122.0,Münster,well_kept,sophisticated,no,Weissenburstr.,Weissenburstr.,True,7,apartment,48151,4.0,60.1,1.0,3.0,4,False,6,Münster,Geist,"Gute Architektur spricht für sich. Die Immobilie ist zu 2009 vom bekannten Architekten Landheer entworfen worden. Ein üppiges Treppenhaus mit großzügigen Fensterflächen laden zum heimkommen oder zum Empfang von Gästen ein. Edle Böden, ein peppiger Anstrich und direkter Aufzug in die Tiefgarage machen das Leben freundlich und einfach.","Hochwertige Ausstattung der ganzen Wohnung. Edle großformatige Fliesen im Wohn- Essbereich und der Diele. Parkett in den Schlafräumen. Ein sehr großes Badezimmer mit bodengleicher Dusche, Stellplatz für Waschmaschine u. Trockner. Ein angenehmes Gäste WC ist ebenso vorhanden, wie ein sehr groß bemessener Abstellraum mit Einbauten. Die Küche kann unentgeltlich übernommen werden. Ein Einbaubücherregal möchte man an einen Buchliebhaber verkaufen.",,,,,,May19,1313.1958,0.0
88,Nordrhein_Westfalen,60.0,central_heating,ONE_YEAR_FREE,,False,True,4,4.66,40.0,700.0,1993.0,115666108,1.0,gas,True,Nordrhein_Westfalen,True,5.0,580.0,151 a,62.0,Münster,well_kept,normal,no,Wolbecker Str.,Wolbecker_Str.,False,4,ground_floor,48155,2.0,110.7,0.0,3.0,2,False,3,Münster,Herz_Jesu,"Das Wohnhaus ist sehr ruhig im Innenhof gelegen. Die Wohnung ist ca. 62,00 m² groß und ist in einem gepflegten Zustand. Die Wohnung befindet sich im Erdgeschoss zum Hintergarten gelegen. Der Wohnbereich hat eine und große und helle Fensterfront mit einem Balkon.","In der gut geschnittenen Wohnung ist ein brauner Laminatboden verlegt. Das Badezimmer ist weiß gefliest und die Sanitärgegenstände werden noch teilweise erneuert. Eine weiße und moderne Einbauküche mit Herd, Geschirrspülmaschiene und Kühschrank wird gestellt. Die Wohnung ist derzeit noch bewohnt. Die eingestellten Fotos sind von der letzten Vermietung Ein Stellplatz kann nach Wunsch angemietet werden.",60.0,D,,,,Feb20,667.3618,0.0
90,Nordrhein_Westfalen,140.0,central_heating,ONE_YEAR_FREE,,False,False,6,4.37,10.0,560.0,1978.0,114934770,1.0,oil,True,Nordrhein_Westfalen,True,3.0,420.0,41,50.0,Münster,well_kept,,no,Pr&ouml;bstingstra&szlig;e,Pröbstingstraße,False,3,other,48157,2.0,,2.0,2.0,2,False,2,Münster,Handorf,"Diese schöne, gepflegte Wohnung im zweiten Stock kann ab sofort bezogen werden. Die Wohnung verfügt über zwei einladende Zimmer. Zur Verfügung stehen Ihnen außerdem eine Einbauküche sowie ein Stellplatz für Ihr Auto und ein Kellerraum zur Mitbenutzung.",Die Wohnung besitzt Steinfliesen (wie auf den Bildern zu sehen) und zeichnet sich durch eine offene Einbauküche aus. Weiterhin sorgen große Fenster für eine helle und freundliche Atmosphäre.,,,2016.0,,,Feb20,538.1949999999999,0.0
91,Nordrhein_Westfalen,210.0,floor_heating,ONE_YEAR_FREE,,True,True,12,4.6,40.0,1340.0,2020.0,115694089,1.0,geothermal,False,Nordrhein_Westfalen,True,9.0,1130.0,61,80.88,Münster,first_time_use,sophisticated,no,Grevener Str.,Grevener_Str.,True,7,apartment,48149,3.0,,2.0,4.0,3,False,3,Münster,Neutor,"Neubau im Kreuzviertel: Erstbezug einer 3 Zi.- Wohnung im zweiten OG mit gehobener Innenausstattung. Bezugsfertig zum 01.03.2020. Großes Wohn-Esszimmer mit Balkon und angrenzender Küche, 2 Schlafzimmer, Bad mit Dusche und WC (ohne Badewanne) sowie separates Gäste-WC, Vorrats/Abstellraum in der Wohnung mit WM/WT-Anschluß, zusätzlich im 3. OG Abstellraum und separater Stellplatz für WM/WT,  Fahrstuhl vorhanden.  Auto-Stellplatz in der TG. Ein aktueller Energieausweis liegt zur Besichtigung vor.","lichtdurchflutete, sehr gut geschnittene Wohnung, helle Fliesen in der gesamten Wohnung, großer Balkon, 3-fach Isolierverglasung mit elektrischen Rolläden, Fahrradkeller",,,,,,Feb20,870.5842319999999,5.0
93,Nordrhein_Westfalen,160.0,electric_heating,ONE_YEAR_FREE,,False,True,14,7.07,40.0,1440.0,1982.0,110562918,1.0,district_heating,False,Nordrhein_Westfalen,True,4.0,1280.0,,116.0,Münster,well_kept,sophisticated,no,no_information,,False,7,maisonette,48153,5.0,60.0,3.0,3.0,5,False,5,Münster,Schützenhof,Diese schicke 5 Zimmer Wohnung über 2 Etagen mit einem sehr interessanten Grundriss liegt in der 3. Etage eines sehr angenehmen und gepflegten  Mehrparteienhauses ohne Fahrstuhl. Durch ihre Lage ist sie absolut ruhig.,"Über 60 Stufen in einem auffallend gepflegten Treppenhaus mit jeweils 2 Parteien pro Etage gelangt man in die 3. Etage des 8 Parteienhauses. Die helle und geräumige Wohnung erstreckt sich über 2 Etagen. Auf der unteren Ebene gehen von dem Flur 2 Schlafräume, die Küche, das Gäste WC und das Badezimmer ab, beides weiß gefliest. Das Badezimmer verfügt über 2 Waschbecken, Dusche, Badewanne und einen Waschmaschinenstellplatz. Am Ende des Flures gelangt man in den offenen Wohn-, Essbereich mit dem Ausgang auf die uneinsehbare Dachterrasse. Über eine Raumspartreppe geht es in die obere Ebene, die über einen großen Raum mit 3 großflächigen Velouxfenstern, einem kleineren Raum verfügt und einem weiß gefliesten Badezimmer mit Dusche und Fenster. In der ganzen Wohnung liegt außer in der Küche und den Bädern ein grauer Designfußboden. Vor den Fenstern befinden sich hochwertige, graue Rollos. Genügend Stauraum bieten die teileise in den Schrägen liegenden Abseiten, ein kleiner Abstellraum im Flur und ein Kellerraum. Im Erdgeschoss liegt außerhalb des Treppenhauses ein Fahrradraum. Eine geräumige Garage erübrigt die lästige Parkplatzsuche.",,,2018.0,,,May19,1248.6124,0.0
96,Nordrhein_Westfalen,65.0,self_contained_central_heating,ONE_YEAR_FREE,,False,True,6,4.79,40.0,815.0,,115642789,,gas,True,Nordrhein_Westfalen,True,,750.0,,65.0,Münster,,,no,no_information,,False,5,apartment,48155,2.5,,,,2,False,3,Münster,Hansaplatz,"Die ETW ist für ein bis zwei Personen geeignet. Große Fenster, helle Wohnräume und eine offene Wohnküche mit Balkon zum Innenhof zeichnen diese ruhige Wohnung aus. Die Vermietung erfolgt zum 1.4., gerne auch früher. Strom und Gas sind vom Mieter gesondert abzurechnen und nicht in den Nebenkosten enthalten.",,,,,,,Feb20,699.6535,3.0
97,Nordrhein_Westfalen,185.0,central_heating,ONE_YEAR_FREE,,False,True,1,6.76,40.0,845.0,1998.0,105226911,1.0,district_heating,True,Nordrhein_Westfalen,True,5.0,660.0,67,73.0,Münster,mint_condition,sophisticated,no,Allensteiner Stra&szlig;e,Allensteiner_Straße,False,5,apartment,48157,2.0,,2.0,2.0,2,False,3,Münster,Coerde,"Bei dieser ansprechenden Immobilie handelt es sich um eine gepflegte Wohnung im zweiten OG, die durch eine gehobene Innenausstattung besticht und direkt am Kanal liegt. Die Wohnung kann zum 01.12.2018 oder 01.01.2019 bezogen werden. Das Objekt verfügt über zwei schöne Zimmer. Ein aktueller Energieausweis liegt vor. Zur Wohnung gehören auch eine Loggia sowie ein Balkon mit direktem Blick auf den Kanal. Ein Stellplatz für Ihr Auto in der Tiefgarage, ein Kellerraum sowie ein Gemeinschaftswäscheraum und ein Fahrradkeller stehen Ihnen außerdem zur Verfügung.","Eichenparkett, außenliegendes Bad mit Fenster",,,,90.76,0.1915,Sep18,785.7647,6.0
98,Nordrhein_Westfalen,170.0,gas_heating,ONE_YEAR_FREE,,False,False,5,4.63,40.0,1100.0,,115381108,1.0,gas,True,Nordrhein_Westfalen,True,,770.0,,58.0,Münster,refurbished,luxury,,no_information,,False,5,ground_floor,48159,2.0,,0.0,3.0,2,True,2,Münster,Uppenberg,"sehr schöne, moderne, sanierte und renovierte Wohnung, mit hohen Decken und großen Fenstern, in einer denkmalgeschützten Immobilie, Parkettboden, große ebenerdige Dusche, schicke neue Mieleküche mit Induktionskochfeld, Spülmaschine,  gute Lage, nähe Germania Campus, verkehrsgünstig zur Autobahn, ab sofort, pro Zimmer 385,- € netto kalt, zzgl. NK und HK 85,- €, zzgl. Küche 60,- € pro Person, zzgl. 1 Stellplatz 40,- €",,,NO_INFORMATION,,,,Feb20,624.3062,4.0
99,Nordrhein_Westfalen,375.0,central_heating,ONE_YEAR_FREE,,False,True,10,4.37,40.0,1475.0,1964.0,89305368,1.0,gas,True,Nordrhein_Westfalen,True,2.0,1100.0,5,123.0,Münster,well_kept,sophisticated,,Immelmannstr.,Immelmannstr.,False,7,ground_floor,48157,4.0,,,,4,True,6,Münster,Handorf,3 Eigentumswohnugen mit Garten,"2 Bäder, Whirlpool im Elternbad, Fliesen im Flur und Wohnzimmer,  Küche vorhanden,",,,,,,Feb20,1323.9597,0.0
100,Nordrhein_Westfalen,442.5,central_heating,ONE_YEAR_FREE,,False,True,14,4.52,40.0,2832.5,2012.0,112326077,1.0,district_heating,False,Nordrhein_Westfalen,False,8.0,2390.0,,177.0,Münster,,,,no_information,,True,9,apartment,48149,5.0,,0.0,,5,False,7,Münster,Kreuzviertel,"Am Rande des charmanten Kreuzviertels befindet sich diese exklusive Neubauwohnung mit einem wunderschönen Blick über die Dächer von Münster. Neben dem großzügigen Treppenhaus gelangt man ebenfalls über den Aufzug mit direkter Verbindung zur Tiefgarage in die herrliche Wohnung im 3. Obergeschoss. Die Wohnung ist fast durchgehend mit hellem Eichenparkett ausgelegt, welches zum angenehmen Wohngefühl beiträgt. Diese Wohlfühlatmosphäre setzt sich konsequent im Büro, Ess- und Wohnbereich fort. Der helle, lichtdurchflutete Wohnbereich öffnet sich durch bodentiefe Fenster zum Balkon, der einen weitreichenden Blick über das Kreuzviertel ermöglicht und durch die südliche Ausrichtung viele sonnige Stunden verspricht. Die offene Küche ist passend zum angrenzenden Essbereich mit sandfarbenem Feinsteinboden ausgelegt und vollendet die konsequente helle und stilvolle Atmosphäre. Das Hauptschlafzimmer bietet Platz für einen separaten Ankleidebereich und wird durch das Vollbad en Suite komplettiert. Das Vollbad ist mit anthrazitfarbenen Fliesen ausgelegt, die einen schönen Kontrast zu den weißen Wandfliesen bilden und zugleich die moderne Ausstattung unterstreichen. Das Raumangebot wird durch die ca. 31 m² große integrierte Studiowohnung, die jedoch auch über einen separaten Eingangsbereich verfügt, vervollständigt. Hier befindet sich ein großzügiges, helles Zimmer mit einem Duschbad, in dem optional eine Küche eingebaut werden kann. Ferner komplettiert ein Kellerraum und ein Tiefgaragenstellplatz (100 € /mtl.) das Angebot. Überzeugen Sie sich bei einer Besichtigung!",,,,,,,Oct19,1905.2103,3.0
101,Nordrhein_Westfalen,230.0,central_heating,,,False,True,0,5.83,,1195.0,1986.0,110617026,1.0,gas,True,Nordrhein_Westfalen,False,4.0,970.0,,64.0,Münster,well_kept,sophisticated,negotiable,no_information,,False,6,maisonette,48143,2.5,,3.0,3.0,2,False,3,Münster,Kreuzviertel,"Bei dieser ansprechenden Immobilie handelt es sich um eine gepflegte Maisonette-Wohnung im dritten Stock, die durch eine gehobene Innenausstattung besticht und zum 01.05.2019 bezogen werden kann. Das Apartment verfügt über zweieinhalb schöne Zimmer. Des Weiteren überzeugt der gute Schnitt, der auch für WGs geeignet ist. Besonders hervorzuheben ist auch der Balkon, auf dem es sich wunderbar vom Alltag erholen lässt. Zur Verfügung stehen Ihnen außerdem eine Einbauküche sowie ein Stellplatz für Ihr Auto.",,,,,,,May19,688.8896,0.0
